"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",36.1402514093654,39.5098736291689,12.2501727020202,18.1824321717172,26.5364354545455,32.1655835858586,43.3157148484848,45.9418290909091,32.3893875,39.4298825,11.6193975,17.0585325,48.1229475,52.51876,0.385930466245764,0.668245580011996,38.447160994125,60.5433031612,1
"2","2",35.8080714599226,39.4427657676091,11.5618209343434,17.2700280555556,26.7512341666667,32.5832426515151,42.9396876010101,45.4879446969697,32.0861725,39.0616175,11.7676125,17.2299925,47.917745,52.30361,0.392162356206839,0.671876569059383,37.0906610451075,59.22288020455,2
"3","3",32.9873567882309,38.6472238414707,13.3801954545455,20.9680044949495,22.9465600757576,30.4960882070707,41.2944166666667,45.9241547727273,32.563405,39.6791325,11.439175,16.7688525,47.8749775,52.63818,0.279936844536987,0.629100794321376,29.8971133297525,65.407649646775,3
"4","4",37.486745790263,40.519005090639,11.8781511111111,16.9129755555556,28.6238714141414,33.0929367171717,43.8989432575758,46.7527658333333,32.38039,39.4253475,11.668005,17.1111075,48.166935,52.54571,0.354022864764824,0.640385897019832,34.263552395555,55.7326707426,4
"5","5",37.5122089043839,42.598391462899,10.4149223232323,16.5473693939394,29.0443902272727,35.6546914646465,43.6207944444444,48.1223108080808,32.084545,39.42487,11.7995775,17.2206475,47.8659975,52.7373025,0.171793028105923,0.392214249866089,14.8807331278425,32.6271889328275,5
"6","6",35.3078754352037,42.2657209665335,10.463074469697,17.417066010101,26.6611054545455,35.1810187878788,42.1366772727273,47.7955268939394,31.8906525,39.16289,11.81406,17.26843,47.6474175,52.4897525,0.129144269781385,0.400908566309519,11.5433652662475,33.4650518848025,6
"7","7",34.1007544849577,43.8213301672219,10.6052778787879,19.8091916666667,24.362410530303,36.6428796969697,41.7852781565657,49.3387827272727,32.24025,39.8257075,11.7333,17.2098325,47.9991775,53.062215,0.031486669990655,0.195267186814708,2.8456456335235,17.95641888969,7
"8","8",35.4936043122321,39.7981169065731,12.6084163636364,19.9365190909091,25.3342806060606,31.9895339393939,43.0753206818182,46.7259240909091,32.6870975,39.86677,11.409815,16.7179025,48.01107,52.620715,0.258804262230765,0.476617824194966,26.621222274655,46.879040315825,8
"9","9",33.7503829033001,41.563803461191,10.8729941666667,18.6323982323232,24.5184261363636,34.5142052525253,41.4454532575758,47.275132979798,31.9109725,39.311055,11.7219975,17.2198225,47.6690875,52.4929025,0.0795363131025296,0.236442129003425,7.2694222478475,22.5393844507625,9
"10","10",29.4648315853133,37.5681378610145,11.9422766414141,18.7902427272727,20.5613720454545,30.6253813888889,38.3936133333333,43.6471757575758,31.467605,38.7705225,11.5741675,17.15724,47.1855425,51.88938,0.350300479179539,0.892781024173431,33.09671250561,96.701244471825,10
"11","11",37.8231584911338,41.1662407097707,10.9402679292929,16.0040804545455,29.4616268181818,34.1942237373737,43.8484275505051,47.0065631818182,32.0980375,39.2620425,11.67049,17.157535,47.8290975,52.3640075,0.431133263404289,0.816945811795558,38.4880137648,67.3295777777,11
"12","12",37.0455891010401,43.0740901845619,8.88262191919191,15.1875598484849,29.1939831818182,36.7743548232323,42.7844377272727,47.8738641666667,30.809545,38.78491,11.94246,17.473625,46.8841925,52.1976775,0.211550400058057,0.589591562406713,16.8466894296525,45.625421321675,12
"13","13",35.8728090826658,40.8267256543565,12.1945875757576,19.7697172222222,26.2802440656566,32.7483363888889,42.9582957070707,47.945316969697,32.59778,40.145065,11.6145925,16.9575125,47.994975,53.1618875,0.319633081768711,0.716590364074267,31.492764504045,67.6570885605,13
"14","14",39.6137742332367,43.5683400430898,9.67756651515151,15.4885745454545,31.4860353787879,36.8010466919192,45.002353030303,48.9079758838384,32.1496575,39.60041,11.924035,17.4197325,48.1359,52.90682,0.063820441446833,0.126337606880507,5.28177858073,9.89325880046,14
